cik,company Name
1000045,NICHOLAS FINANCIAL INC
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C."
1000152,"WESTERN INTERNATIONAL SECURITIES, INC."
1000177,NORDIC AMERICAN TANKERS Ltd
1000184,SAP SE
1000191,RIVERSOURCE VARIABLE ACCOUNT 10
1000209,MEDALLION FINANCIAL CORP
1000210,MURSTEIN ALVIN
1000228,HENRY SCHEIN INC
1000229,CORE LABORATORIES N V
1000230,OPTICAL CABLE CORP
1000232,KENTUCKY BANCSHARES INC /KY/
1000249,FIRST EAGLE VARIABLE FUNDS
1000264,ALGER ASSOCIATES INC
1000275,ROYAL BANK OF CANADA
1000298,IMPAC MORTGAGE HOLDINGS INC
1000316,FINANTIA USA INC.
1000317,FIRST SOVEREIGN SECURITIES
1000351,LEUTHOLD FUNDS INC
1000383,BRONSON STEVEN N
1000490,GIRARD PARTNERS LTD.
1000514,HAYWOOD GEORGE WEAVER
1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC
1000683,BLONDER TONGUE LABORATORIES INC
1000694,NOVAVAX INC
1000697,WATERS CORP /DE/
1000742,SANDLER CAPITAL MANAGEMENT
1000753,"INSPERITY, INC."
1000952,CONDUENT SECURITIES SERVICES INC /TA
1001039,TWDC Enterprises 18 Corp.
1001082,DISH Network CORP
1001085,BROOKFIELD ASSET MANAGEMENT INC.
1001107,GOLDSTEIN CAPITAL MANAGED BOND PORTFOLIO LP
1001115,GEOSPACE TECHNOLOGIES CORP
1001171,BROADWAY FINANCIAL CORP \DE\
100122,TUCSON ELECTRIC POWER CO
1001233,"SANGAMO THERAPEUTICS, INC"
1001250,ESTEE LAUDER COMPANIES INC
1001258,ASTA FUNDING INC
1001290,CREDICORP LTD
1001300,RYAN JOHN T III
1001316,"TG THERAPEUTICS, INC."
1001362,C&C TRADING L.L.C.
1001366,"U.S. DISCOUNT BROKERAGE, INC."
1001373,THE LAWRENCE D. VITEZ CORPORATION
1001382,KBFG SECURITIES AMERICA INC.
1001383,ADVANTAGE SECURITIES LLC
1001385,NORTHWEST PIPE CO
1001463,"Acacia Diversified Holdings, Inc."
1001474,KONINKLIJKE KPN N V
1001572,"TWIN SECURITIES, L. P."
1001601,"MGT CAPITAL INVESTMENTS, INC."
1001614,TENGASCO INC
1001719,CRAIL FRANKLIN E
1001723,"UNITED BROKERAGE SERVICES, INC"
1001748,SMULYAN JEFFREY H
1001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK
1001838,SOUTHERN COPPER CORP/
1001902,INTEVAC INC
1001907,ASTROTECH Corp
1001920,CHASE GENERAL CORP /MO /TA
1001980,SECURITY LIFE SEPARATE ACCOUNT S-L1
1002047,"NetApp, Inc."
1002078,"JAYHAWK CAPITAL MANAGEMENT, L.L.C."
1002134,"SEQUOIA INVESTMENTS, INC."
1002135,WESTELL TECHNOLOGIES INC
1002152,"COMPASS CAPITAL MANAGEMENT, INC"
1002197,BLACKROCK EXECUTION SERVICES
1002201,"NATALLIANCE SECURITIES, LLC"
1002202,"CHURCHILL FINANCIAL, LLC"
1002242,ENI SPA
1002427,Morgan Stanley Insight Fund
1002517,"Nuance Communications, Inc."
1002537,NEEDHAM FUNDS INC
1002590,"STAR GROUP, L.P."
1002599,"CAMBRIDGE INVESTMENT RESEARCH, INC."
1002603,"CITIZENS SECURITIES, INC."
1002604,"WESTWOOD CAPITAL, LLC"
1002624,"T. Rowe Price Health Sciences Fund, Inc."
1002638,OPEN TEXT CORP
1002667,TAX-MANAGED GROWTH PORTFOLIO
1002672,Bell Bank
1002718,"AB UNCONSTRAINED BOND FUND, INC."
1002729,ICMG REGISTERED VARIABLE LIFE SEPARATE ACCOUNT ONE
1002761,AMERICREDIT FINANCIAL SERVICES INC
1002771,"Integrated Cannabis Solutions, Inc."
1002779,VARIABLE ANNUITY ACCOUNT FIVE
1002784,SHELTON CAPITAL MANAGEMENT
1002807,"STONECREST CAPITAL MARKETS, INC."
1002910,AMEREN CORP
1002912,SHINE INVESTMENT ADVISORY SERVICES INC
1003031,M FINANCIAL INVESTMENT ADVISERS INC /ADV
1003078,MSC INDUSTRIAL DIRECT CO INC
1003108,"AUFHAUSER SECURITIES, INC."
1003192,"BRISTOL INVESTMENT GROUP, INC."
1003197,FINANCIAL ASSET SECURITIES CORP
1003201,"MMA Capital Holdings, Inc."
1003239,SEASONS SERIES TRUST
1003256,BRANDES INSTITUTIONAL EQUITY TRUST
1003283,BlackRock Group LTD
100334,"AMERICAN CENTURY MUTUAL FUNDS, INC."
1003410,DUKE REALTY LIMITED PARTNERSHIP/
1003466,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT T
1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST
1003553,GLOBALT Investments
1003594,Strategic Global Balanced Trust
1003632,SEI ASSET ALLOCATION TRUST
1003676,"THE TIDAL GROUP, INC."
100378,TWIN DISC INC
1003815,BCTC IV ASSIGNOR CORP
1003839,MATTHEW 25 FUND
1003924,MANOR INVESTMENT FUNDS INC
1003935,NICE Ltd.
1003991,"GUGGENHEIM FUNDS DISTRIBUTORS, LLC"
1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/
1004140,PENNSYLVANIA CAPITAL MANAGEMENT INC /ADV
1004150,WORLD OMNI FINANCIAL CORP
1004155,SOUTHERN Co GAS
1004156,ARAUCO & CONSTITUTION PULP INC
1004158,GS MORTGAGE SECURITIES CORP II
1004244,NEW ENGLAND ASSET MANAGEMENT INC
1004315,NATIONAL GRID PLC
1004434,"AFFILIATED MANAGERS GROUP, INC."
1004530,Mountain Province Diamonds Inc.
1004554,FARRELL THOMAS F II
1004655,VANGUARD WHITEHALL FUNDS
1004658,VIRTUS RETIREMENT TRUST
