num_correct,num_incorrect,num_unmatched,num_total,time_taken
729,0,0,729,55.831737756729126
729,0,0,729,57.93370461463928
729,0,0,729,52.7970187664032
729,0,0,729,55.773712396621704
729,0,0,729,55.84365892410278
230,0,3866,4096,100.43178510665894
222,0,3874,4096,100.07179260253906
241,0,3855,4096,100.53843021392822
231,0,3865,4096,100.4307746887207
231,0,3865,4096,100.39650177955627
64,0,15561,15625,100.20444321632385
62,0,15563,15625,102.055251121521
68,0,15557,15625,101.0412209033966
65,0,15560,15625,100.25181460380554
65,0,15560,15625,100.32884478569031
23,0,46633,46656,102.7726058959961
22,0,46634,46656,103.3777425289154
24,0,46632,46656,102.43400764465332
23,0,46633,46656,102.60623598098755
23,0,46633,46656,103.58866024017334
