num_correct,num_incorrect,num_unmatched,num_total,time_taken
124,16,589,729,101.04617714881897
5,129,595,729,100.4230215549469
131,17,581,729,101.509836435318
10,131,588,729,100.53861498832703
132,8,589,729,100.46956849098206
23,4,4069,4096,102.7127468585968
2,24,4070,4096,100.29244351387024
25,4,4067,4096,101.95827531814575
2,25,4069,4096,102.84236431121826
25,2,4069,4096,102.348965883255
7,1,15617,15625,110.20291352272034
0,8,15617,15625,114.643639087677
7,1,15617,15625,104.62917065620422
0,8,15617,15625,110.1724534034729
7,1,15617,15625,110.0319414138794
3,0,46653,46656,162.7856261730194
0,3,46653,46656,169.2740352153778
3,0,46653,46656,156.61234378814697
0,3,46653,46656,163.5866460800171
3,0,46653,46656,162.78078055381775
